"Window","Quick Access","Ctrl+3","In Windows"
"Source","Organize Includes","Shift+Ctrl+O","C/C++ Editor"
"Edit","Next Sibling","Shift+Ctrl+Down","Editing in Structured Text Editors"
"Editor Commands","Prepare Sources","Shift+Ctrl+R P","Specfile Editor Context"
"Window","Previous View","Shift+Ctrl+F7","In Windows"
"Navigate","Open Call Hierarchy","Ctrl+Alt+H","In C/C++ Views"
"Edit","Select All","Ctrl+A","In Dialogs and Windows"
"Window","Previous Editor","Ctrl+Tab","In Windows"
"Views","Show View (Error Log)","Shift+Alt+Q L","In Windows"
"Text Editing","Collapse All","Shift+Ctrl+Numpad_Divide","Editing Text"
"Makefile Source","Toggle Comment","Ctrl+/","Makefile Editor"
"Edit","Undo","Ctrl+Z","In Dialogs and Windows"
"Navigate","Go To Previous Unread Task","Alt+Up","In Tasks View"
"Terminal view commands","Terminal view insert","Alt+Y","Terminal Typing Connected"
"Text Editing","Select Next Word","Shift+Ctrl+Right","Editing Text"
"Source","Toggle Source/Header","Ctrl+1","In Windows"
"Edit","Content Assist","Ctrl+Space","In Dialogs and Windows"
"Run/Debug","Toggle Memory Monitors Pane","Ctrl+T","In Memory View"
"Edit","Restore Last Selection","Shift+Alt+Down","Editing in Structured Text Editors"
"Edit","Shift Left","Shift+Tab","C/C++ Editor"
"Run/Debug","Go to Address","Ctrl+G","In Table Memory Rendering"
"Text Editing","Move Lines Down","Alt+Down","Editing Text"
"Navigate","Open Call Hierarchy","Ctrl+Alt+H","C/C++ Editor"
"Terminal view commands","Terminal view insert","Alt+E","Terminal Typing Connected"
"Source","Declaration","Ctrl+G","In C/C++ Views"
"Terminal view commands","Copy","Ctrl+Insert","Terminal Control in Focus"
"Source","Open Element","Shift+Ctrl+T","In C/C++ Views"
"Text Editing","Scroll Line Down","Ctrl+Down","Editing Text"
"Run/Debug","Terminate","Ctrl+F2","Debugging"
"File","Properties","Alt+Enter","In Windows"
"Task Repositories","Mark Task Unread","Shift+Alt+U","In Tasks Editor"
"Views","Show View (Outline)","Shift+Alt+Q O","In Windows"
"Views","Show View (Problems)","Shift+Alt+Q X","In Windows"
"Run/Debug","Next Memory Monitor","Ctrl+Alt+N","In Memory View"
"Edit","Matching Tag","Shift+Ctrl+>","Editing in Structured Text Editors"
"Changelog","Prepare Changelog In Editor","Ctrl+Alt+P","Editing Text"
"Edit","Paste","Ctrl+V","In Dialogs and Windows"
"Focused UI","Show Context Quick View","Shift+Ctrl+Alt+Right","In Windows"
"UML2 Sequence Diagram Viewer Commands","Show node end","Shift+Alt+End","UML2 Sequence Diagram Viewer"
"Source","Explore Macro Expansion","Ctrl+#","C/C++ Editor"
"Run/Debug","Run to Line","Ctrl+R","Debugging"
"Project","Build Target Build","Shift+F9","In Windows"
"Task Repositories","Mark Task Complete","Shift+Alt+C","In Tasks View"
"Editor Commands","Show Outline","Ctrl+O","Specfile Editor Context"
"Navigate","Next Sub-Tab","Alt+PageDown","In Dialogs and Windows"
"Terminal view commands","Terminal view insert","Alt+C","Terminal Typing Connected"
"Edit","Paste","Shift+Insert","In Dialogs and Windows"
"Navigate","Open Type in Hierarchy","Shift+Ctrl+H","C/C++ Editor"
"Terminal view commands","Terminal view insert","Alt+R","Terminal Typing Connected"
"UML2 Sequence Diagram Viewer Commands","Go to associated message","Alt+R","UML2 Sequence Diagram Viewer"
"Text Editing","Toggle Overwrite","Insert","Editing Text"
"Uncategorized","Show Markup Cheat Sheet","F1","WikiText Markup Source Context"
"Run/Debug","Resume","F8","Debugging"
"Run/Debug","Go to Program Counter","Home","In Disassembly"
"Source","Show Source Quick Menu","Shift+Alt+S","C/C++ Editor"
"Terminal view commands","Terminal view insert","Alt+F","Terminal Typing Connected"
"Navigate","Collapse All","Shift+Ctrl+Numpad_Divide","In Windows"
"Window","Next View","Ctrl+F7","In Windows"
"Edit","Redo","Shift+Ctrl+Z","In Dialogs and Windows"
"Terminal view commands","Terminal view insert","Alt+V","Terminal Typing Connected"
"Reverse Debugging Commands","Reverse Step Over","Shift+F6","Debugging C/C++"
"Task Repositories","Show Tooltip Description","F4","In Tasks View"
"Run/Debug","Run","Ctrl+F11","In Windows"
"Source","Toggle Mark Occurrences","Shift+Alt+O","C/C++ Editor"
"Edit","Select Next Element","Shift+Alt+Right","Editing in Structured Text Editors"
"Text Editing","Move Lines Up","Alt+Up","Editing Text"
"Run/Debug","Step Over","F6","Debugging"
"Terminal view commands","Paste","Shift+Ctrl+V","Terminal Control in Focus"
"Source","Declaration","Ctrl+G","C/C++ Editor"
"Source","Go to Matching Bracket","Shift+Ctrl+P","C/C++ Editor"
"File","Close","Ctrl+W","In Windows"
"Makefile Source","Open declaration","F3","Makefile Editor"
"Navigate","Quick Outline","Shift+Ctrl+O","Task Markup Editor Source Context"
"Navigate","Open Type Hierarchy","F4","In C/C++ Views"
"Source","Open Declaration","F3","C/C++ Editor"
"Run/Debug","Step Into","F5","Debugging"
"Edit","Copy","Ctrl+C","In Dialogs and Windows"
"Edit","Quick Fix","Ctrl+1","In Dialogs and Windows"
"Views","Show View (Synchronize)","Shift+Alt+Q Y","In Windows"
"File","Refresh","F5","In Windows"
"UML2 Sequence Diagram Viewer Commands","Scroll left","Shift+Alt+Left","UML2 Sequence Diagram Viewer"
"File","Close All","Shift+Ctrl+W","In Windows"
"Views","Show View (Search)","Shift+Alt+Q S","In Windows"
"UML2 Sequence Diagram Viewer Commands","Scroll down","Shift+Alt+Down","UML2 Sequence Diagram Viewer"
"Navigate","Open Type in Hierarchy","Shift+Ctrl+H","In C/C++ Views"
"Terminal view commands","Terminal view insert","Alt+H","Terminal Typing Connected"
"Terminal view commands","Terminal view insert","Alt+N","Terminal Typing Connected"
"Run/Debug","Use Step Filters","Shift+F5","In Windows"
"Edit","Toggle Word Wrap","Shift+Alt+Y","Editing Text"
"Changelog","Prepare Changelog In Editor","Ctrl+Alt+P","Comparing in an Editor"
"Navigate","Previous Page","Shift+Alt+F7","In Windows"
"Search","Find Text in Workspace","Ctrl+Alt+G","In Windows"
"Edit","Remove Block Comment","Shift+Ctrl+\","Editing in Structured Text Editors"
"Task Repositories","Mark Task Read","Shift+Alt+R","In Tasks View"
"Changelog","Insert ChangeLog entry","Ctrl+Alt+C","Editing Text"
"Navigate","Open Type Hierarchy","F4","C/C++ Editor"
"Edit","Select Previous C/C++ Element","Shift+Alt+Left","C/C++ Editor"
"Source","Quick Type Hierarchy","Ctrl+T","C/C++ Editor"
"Navigate","Go To Next Unread Task","Alt+Down","In Tasks View"
"Navigate","Next Page","Alt+F7","In Windows"
"Views","Show View","Shift+Alt+Q Q","In Windows"
"Source","Toggle Comment","Ctrl+/","SystemTap Editor"
"File","Close All","Shift+Ctrl+F4","In Windows"
"Task Repositories","Open Selected Task","Ctrl+Enter","In Tasks View"
"Text Editing","Duplicate Lines","Ctrl+Alt+Up","Editing Text"
"File","New","Ctrl+N","In Windows"
"Task Editor","Maximize Part","Shift+Ctrl+M","In Tasks Editor"
"Navigate","Next","Ctrl+.","In Windows"
"Terminal view commands","Terminal view insert","Alt+T","Terminal Typing Connected"
"Text Editing","Toggle Folding","Ctrl+Numpad_Divide","Editing Text"
"UML2 Sequence Diagram Viewer Commands","Show node start ","Shift+Alt+Home","UML2 Sequence Diagram Viewer"
"Edit","Toggle Comment","Shift+Ctrl+C","Editing in Structured Text Editors"
"Text Editing","Insert Line Below Current Line","Shift+Enter","Editing Text"
"Edit","Find Next","Ctrl+K","Editing Text"
"Text Editing","Collapse","Ctrl+Numpad_Subtract","Editing Text"
"Navigate","Open Include Browser","Ctrl+Alt+I","In C/C++ Views"
"Window","Activate Editor","F12","In Windows"
"Window","Show Key Assist","Shift+Ctrl+L","In Dialogs and Windows"
"Window","Show System Menu","Alt+-","In Windows"
"Window","Toggle Full Screen","Alt+F11","In Windows"
"Task Repositories","Mark Task Unread","Shift+Alt+U","In Tasks View"
"Edit","Incremental Find","Ctrl+J","Editing Text"
"Text Editing","Delete Line","Ctrl+D","Editing Text"
"UML2 Sequence Diagram Viewer Commands","Scroll right","Shift+Alt+Right","UML2 Sequence Diagram Viewer"
"Edit","Find and Replace","Ctrl+F","In Windows"
"Views","Show View (Breakpoints)","Shift+Alt+Q B","In Windows"
"Changelog","Prepare Commit","Ctrl+Alt+V","Editing Text"
"Navigate","Search Repository for Task","Shift+Ctrl+F12","In Windows"
"Terminal view commands","Terminal view insert","Alt+P","Terminal Typing Connected"
"Edit","Select Previous Element","Shift+Alt+Left","Editing in Structured Text Editors"
"Window","Next Editor","Ctrl+F6","In Windows"
"Edit","Toggle Insert Mode","Shift+Ctrl+Insert","Editing Text"
"Run/Debug","Previous Page of Memory","Shift+Ctrl+,","In Table Memory Rendering"
"Terminal view commands","Terminal view insert","Alt+G","Terminal Typing Connected"
"Edit","Delete","Delete","In Windows"
"Reverse Debugging Commands","Reverse Resume","Shift+F8","Debugging C/C++"
"Text Editing","Show Tooltip Description","F2","Editing Text"
"Edit","Add Block Comment","Shift+Ctrl+/","Editing in Structured Text Editors"
"Run/Debug","Add Memory Block","Ctrl+Alt+M","In Memory View"
"Edit","Occurrences in File","Shift+Ctrl+A","Editing in Structured Text Editors"
"Navigate","Open Include Browser","Ctrl+Alt+I","C/C++ Editor"
"Source","References","Shift+Ctrl+G","In C/C++ Views"
"Edit","Select Enclosing Element","Shift+Alt+Up","Editing in Structured Text Editors"
"Window","Show View Menu","Ctrl+F10","In Dialogs and Windows"
"Edit","Select Enclosing C/C++ Element","Shift+Alt+Up","C/C++ Editor"
"Text Editing","Zoom In","Ctrl++","Editing Text"
"Text Editing","Zoom Out","Ctrl+-","Editing Text"
"File","New menu","Shift+Alt+N","In Windows"
"Navigate","Open Remote Task","Shift+Ctrl+Alt+F12","In Windows"
"Run/Debug","Debug","F11","In Windows"
"Source","Format","Shift+Ctrl+F","C/C++ Editor"
"Source","Remove Block Comment","Shift+Ctrl+\","C/C++ Editor"
"Text Editing","Line End","End","Editing Text"
"Text Editing","Zoom In","Ctrl+=","Editing Text"
"Task Repositories","Mark Task Incomplete","Shift+Alt+I","In Tasks Editor"
"Views","Show View (Variables)","Shift+Alt+Q V","In Windows"
"Source","References","Shift+Ctrl+G","C/C++ Editor"
"Navigate","Forward History","Alt+Right","In Windows"
"Task Repositories","Mark Task Complete","Shift+Alt+C","In Tasks Editor"
"Edit","Cut","Shift+Delete","In Dialogs and Windows"
"Git","Paste Repository Path or URI","Ctrl+V","In Git Repositories View"
"Changelog","Prepare Changelog","Ctrl+Alt+P","In Windows"
"Source","Add Include","Shift+Ctrl+N","C/C++ Editor"
"Source","Open Declaration","F3","In Macro Expansion Hover"
"Edit","Find Previous","Shift+Ctrl+K","Editing Text"
"File","Save","Ctrl+S","In Windows"
"Run/Debug","Step Into Selection","Ctrl+F5","Debugging C/C++"
"Refactor - C++","Toggle Function - Refactoring ","Shift+Alt+T","C/C++ Editor"
"Run/Debug","Next Page of Memory","Shift+Ctrl+.","In Table Memory Rendering"
"Window","Toggle Split Editor (Horizontal)","Ctrl+_","In Windows"
"Window","Toggle Split Editor (Vertical)","Ctrl+{","In Windows"
"Navigate","Open Task","Ctrl+F12","In Windows"
"Text Editing","Next Word","Ctrl+Right","Editing Text"
"Invoke Autotools","Show Outline","Ctrl+O","Autoconf Editor"
"Terminal view commands","Terminal view insert","Alt+D","Terminal Typing Connected"
"Project","Rebuild Last Target","F9","In Windows"
"Window","Previous Perspective","Shift+Ctrl+F8","In Windows"
"Task Repositories","Quick Outline","Ctrl+O","In Tasks Editor"
"Edit","Cut","Ctrl+X","In Dialogs and Windows"
"Terminal view commands","Maximize Active View or Editor","Alt+Up","Terminal Control in Focus"
"Terminal view commands","Terminal view insert","Alt+A","Terminal Typing Connected"
"Navigate","Previous","Ctrl+,","In Windows"
"Text Editing","Text Start","Ctrl+Home","Editing Text"
"Run/Debug","Go to Address...","Ctrl+G","In Disassembly"
"Edit","Open Selection","F3","Editing in Structured Text Editors"
"Text Editing","Insert Line Above Current Line","Shift+Ctrl+Enter","Editing Text"
"Git","Copy Path to Clipboard","Ctrl+C","In Git Repositories View"
"Terminal view commands","Terminal view insert","Alt+S","Terminal Typing Connected"
"Editor Commands","Toggle Comment","Shift+Ctrl+C","Specfile Editor Context"
"Source","Open Declaration","F3","In C/C++ Views"
"Source","Open Element","Shift+Ctrl+T","C/C++ Editor"
"Views","Show View (Console)","Shift+Alt+Q C","In Windows"
"Edit","Copy","Ctrl+Insert","In Dialogs and Windows"
"Window","Maximize Active View or Editor","Ctrl+M","In Windows"
"Source","Show outline","Ctrl+O","C/C++ Editor"
"Run/Debug","EOF","Ctrl+D","In I/O Console"
"Text Editing","Delete Previous Word","Ctrl+Backspace","Editing Text"
"Changelog","Insert ChangeLog entry","Ctrl+Alt+C","Comparing in an Editor"
"Task Repositories","Mark Task Read and Go To Previous Unread Task","Shift+Alt+Up","In Tasks View"
"Refactor - C++","Extract Function - Refactoring ","Shift+Alt+M","C/C++ Editor"
"Source","Go to Next Member","Shift+Ctrl+Down","C/C++ Editor"
"UML2 Sequence Diagram Viewer Commands","Scroll up","Shift+Alt+Up","UML2 Sequence Diagram Viewer"
"Source","Indent Line","Ctrl+I","C/C++ Editor"
"Source","Surround With Quick Menu","Shift+Alt+Z","C/C++ Editor"
"Edit","Context Information","Shift+Ctrl+Space","In Dialogs and Windows"
"File","Save All","Shift+Ctrl+S","In Windows"
"Task Repositories","New Subtask","Shift+Insert","In Tasks View"
"Focused UI","Make Less Interesting","Shift+Ctrl+Alt+Down","In Windows"
"Window","Next Perspective","Ctrl+F8","In Windows"
"Views","Show View (Cheat Sheets)","Shift+Alt+Q H","In Windows"
"Source","Go to Previous Member","Shift+Ctrl+Up","C/C++ Editor"
"Navigate","Last Edit Location","Ctrl+Esc","In Windows"
"Views","Show View (Task List)","Shift+Alt+Q K","In Windows"
"Text Editing","Expand","Ctrl+Numpad_Add","Editing Text"
"Window","Quick Switch Editor","Ctrl+E","In Windows"
"Navigate","Quick Outline","Ctrl+O","WikiText Markup Source Context"
"Refactor - C++","Rename - Refactoring ","Shift+Alt+R","C/C++ Editor"
"Run/Debug","Toggle Breakpoint","Shift+Ctrl+B","In Windows"
"Text Editing","Delete Next Word","Ctrl+Delete","Editing Text"
"Navigate","Deactivate Task","Shift+Ctrl+F9","In Windows"
"Text Editing","Expand All","Ctrl+Numpad_Multiply","Editing Text"
"Navigate","Show In...","Shift+Alt+W","In Windows"
"Text Editing","Reset Structure","Shift+Ctrl+Numpad_Multiply","Editing Text"
"Task Editor","Submit Task","Shift+Alt+S","In Tasks Editor"
"Search","Open Search Dialog","Ctrl+H","In Windows"
"Task Repositories","Mark Task Read","Shift+Alt+R","In Tasks Editor"
"Navigate","Activate Task","Ctrl+F9","In Windows"
"Views","Show View (History)","Shift+Alt+Q Z","In Windows"
"Focused UI","Focus on Active Task","Shift+Alt+H","In Windows"
"Text Editing","Previous Word","Ctrl+Left","Editing Text"
"Refactor - C++","Extract Local Variable - Refactoring ","Shift+Alt+L","C/C++ Editor"
"Changelog","Format ChangeLog","Esc Ctrl+F","ChangeLog Editor"
"Navigate","Matching Character","Shift+Ctrl+P","Editing in Structured Text Editors"
"Text Editing","Delete to End of Line","Shift+Ctrl+Delete","Editing Text"
"Source","Back","Alt+Left","In Macro Expansion Hover"
"Terminal view commands","Terminal view insert","Alt+B","Terminal Typing Connected"
"Text Editing","To Lower Case","Shift+Ctrl+Y","Editing Text"
"Source","Show Tooltip Description","F2","Autoconf Editor"
"Edit","Quick Diff Toggle","Shift+Ctrl+Q","Editing Text"
"Terminal view commands","Terminal view insert","Alt+W","Terminal Typing Connected"
"Focused UI","Make Landmark","Shift+Ctrl+Alt+Up","In Windows"
"Navigate","Expand All","Shift+Ctrl+Numpad_Multiply","In Windows"
"Text Editing","Text End","Ctrl+End","Editing Text"
"Task Repositories","New Local Task","Insert","In Tasks View"
"Run/Debug","Skip All Breakpoints","Ctrl+Alt+B","In Windows"
"Source","Toggle Comment","Shift+Ctrl+C","C/C++ Editor"
"Run/Debug","Close Rendering","Ctrl+W","In Memory View"
"Edit","Previous Sibling","Shift+Ctrl+Up","Editing in Structured Text Editors"
"Text Editing","Select Line End","Shift+End","Editing Text"
"Edit","Format","Shift+Ctrl+F","Editing in Structured Text Editors"
"Text Editing","Select Line Start","Shift+Home","Editing Text"
"Refactor - C++","Extract Constant - Refactoring ","Alt+C","C/C++ Editor"
"Source","Explore Macro Expansion","Ctrl+=","C/C++ Editor"
"Refactor - C++","Rename - Refactoring ","Shift+Alt+R","In C/C++ Views"
"Run/Debug","Step Return","F7","Debugging"
"Task Repositories","Mark Task Incomplete","Shift+Alt+I","In Tasks View"
"Text Editing","Copy Lines","Ctrl+Alt+Down","Editing Text"
"Edit","Toggle Block Selection","Shift+Alt+A","Editing Text"
"Git","Commit...","Ctrl+#","In Windows"
"Text Editing","Scroll Line Up","Ctrl+Up","Editing Text"
"Edit","Select Next C/C++ Element","Shift+Alt+Right","C/C++ Editor"
"Navigate","Open Resource","Shift+Ctrl+R","In Windows"
"Uncategorized","Copy SHA-1","Ctrl+C","In Git Reflog View"
"Source","Toggle Comment","Ctrl+`","C/C++ Editor"
"Navigate","Previous Sub-Tab","Alt+PageUp","In Dialogs and Windows"
"Navigate","Quick Outline","Ctrl+O","Editing in Structured Text Editors"
"Run/Debug","New Rendering","Ctrl+N","In Memory View"
"Navigate","Backward History","Alt+Left","In Windows"
"Text Editing","Select Previous Word","Shift+Ctrl+Left","Editing Text"
"Source","Forward","Alt+Right","In Macro Expansion Hover"
"Source","Add Block Comment","Shift+Ctrl+/","C/C++ Editor"
"Window","Show Contributing Plug-in","Shift+Alt+F3","In Dialogs and Windows"
"Text Editing","To Upper Case","Shift+Ctrl+X","Editing Text"
"File","Rename","F2","In Windows"
"Edit","Word Completion","Alt+/","Editing Text"
"Task Repositories","Mark Task Read and Go To Next Unread Task","Shift+Alt+Down","In Tasks View"
"Terminal view commands","Terminal view insert","Alt+L","Terminal Typing Connected"
"Editor Commands","Organize Patches","Shift+Ctrl+O","Specfile Editor Context"
"Text Editing","Join Lines","Ctrl+Alt+J","Editing Text"
"File","Close","Ctrl+F4","In Windows"
"Project","Build All","Ctrl+B","In Windows"
"Edit","Restore Last C/C++ Selection","Shift+Alt+Down","C/C++ Editor"
"Window","Switch to Editor","Shift+Ctrl+E","In Windows"
"Terminal view commands","Paste","Shift+Insert","Terminal Control in Focus"
"File","Print","Ctrl+P","In Windows"
"Text Editing","Line Start","Home","Editing Text"
"Editor Commands","Download Sources","Shift+Ctrl+R D","Specfile Editor Context"
"Window","Show Ruler Context Menu","Ctrl+F10","Editing Text"
"Source","Correct Indentation","Ctrl+I","SystemTap Editor"
"Source","Toggle Comment","Ctrl+7","C/C++ Editor"
"Edit","Format Active Elements","Ctrl+I","Editing in Structured Text Editors"
"Navigate","Go to Line","Ctrl+L","Editing Text"
"Terminal view commands","Copy","Shift+Ctrl+C","Terminal Control in Focus"
"Source","Sort Lines","Ctrl+Alt+S","C/C++ Editor"
"Reverse Debugging Commands","Uncall","Shift+F7","Debugging C/C++"
"Edit","Incremental Find Reverse","Shift+Ctrl+J","Editing Text"
"Reverse Debugging Commands","Reverse Step Into","Shift+F5","Debugging C/C++"
"Terminal view commands","Quick Access","Alt+Right","Terminal Control in Focus"
